Block,BlockGroup,Tract
60750122021013.00,60750122021,6075012202
60750123011000.00,60750123011,6075012301
60750123011001.00,60750123011,6075012301
60750123011002.00,60750123011,6075012301
60750123011003.00,60750123011,6075012301
60750123011004.00,60750123011,6075012301
60750123011005.00,60750123011,6075012301
60750123011006.00,60750123011,6075012301
60750123012000.00,60750123012,6075012301
60750123021000.00,60750123021,6075012302
60750123021001.00,60750123021,6075012302
60750123022000.00,60750123022,6075012302
60750123022001.00,60750123022,6075012302
60750123022002.00,60750123022,6075012302
60750123022003.00,60750123022,6075012302
60750123022004.00,60750123022,6075012302
60750123022005.00,60750123022,6075012302
60750124011000.00,60750124011,6075012401
60750124011001.00,60750124011,6075012401
60750124011002.00,60750124011,6075012401
60750124012000.00,60750124012,6075012401
60750124012001.00,60750124012,6075012401
60750124012002.00,60750124012,6075012401
60750124021000.00,60750124021,6075012402
60750124021001.00,60750124021,6075012402
60750124021002.00,60750124021,6075012402
60750124021003.00,60750124021,6075012402
60750124021004.00,60750124021,6075012402
60750124021005.00,60750124021,6075012402
60750124021006.00,60750124021,6075012402
60750124021007.00,60750124021,6075012402
60750124022000.00,60750124022,6075012402
60750124022001.00,60750124022,6075012402
60750124022002.00,60750124022,6075012402
60750124022003.00,60750124022,6075012402
60750124022004.00,60750124022,6075012402
60750124022005.00,60750124022,6075012402
60750124022006.00,60750124022,6075012402
60750124022007.00,60750124022,6075012402
60750124022008.00,60750124022,6075012402
60750124022009.00,60750124022,6075012402
60750124022010.00,60750124022,6075012402
60750124022011.00,60750124022,6075012402
60750124022012.00,60750124022,6075012402
60750124022013.00,60750124022,6075012402
60750124022014.00,60750124022,6075012402
60750124022015.00,60750124022,6075012402
60750124022016.00,60750124022,6075012402
60750124022017.00,60750124022,6075012402
60750124022018.00,60750124022,6075012402
60750124022019.00,60750124022,6075012402
60750124023000.00,60750124023,6075012402
60750124023001.00,60750124023,6075012402
60750124023002.00,60750124023,6075012402
60750124023003.00,60750124023,6075012402
60750124023004.00,60750124023,6075012402
60750124023005.00,60750124023,6075012402
60750124023006.00,60750124023,6075012402
60750124023007.00,60750124023,6075012402
60750125011000.00,60750125011,6075012501
60750125011001.00,60750125011,6075012501
60750125011002.00,60750125011,6075012501
60750125011003.00,60750125011,6075012501
60750125011004.00,60750125011,6075012501
60750125011005.00,60750125011,6075012501
60750125011006.00,60750125011,6075012501
60750125011007.00,60750125011,6075012501
60750125012000.00,60750125012,6075012501
60750125012001.00,60750125012,6075012501
60750125012002.00,60750125012,6075012501
60750125012003.00,60750125012,6075012501
60750125012004.00,60750125012,6075012501
60750125012005.00,60750125012,6075012501
60750125021000.00,60750125021,6075012502
60750125021001.00,60750125021,6075012502
60750125022000.00,60750125022,6075012502
60750125022001.00,60750125022,6075012502
60750126011000.00,60750126011,6075012601
60750126011001.00,60750126011,6075012601
60750126011002.00,60750126011,6075012601
60750126011003.00,60750126011,6075012601
60750126011004.00,60750126011,6075012601
60750126011005.00,60750126011,6075012601
60750126011006.00,60750126011,6075012601
60750126011007.00,60750126011,6075012601
60750126011008.00,60750126011,6075012601
60750126011009.00,60750126011,6075012601
60750126011010.00,60750126011,6075012601
60750126011011.00,60750126011,6075012601
60750126011012.00,60750126011,6075012601
60750126021001.00,60750126021,6075012602
60750126021002.00,60750126021,6075012602
60750126021003.00,60750126021,6075012602
60750126021004.00,60750126021,6075012602
60750126021005.00,60750126021,6075012602
60750126021006.00,60750126021,6075012602
60750126021007.00,60750126021,6075012602
60750126021008.00,60750126021,6075012602
60750126021009.00,60750126021,6075012602
60750126021010.00,60750126021,6075012602
60750126021011.00,60750126021,6075012602
60750126021012.00,60750126021,6075012602
60750126021013.00,60750126021,6075012602
60750126021014.00,60750126021,6075012602
60750126021015.00,60750126021,6075012602
60750126021016.00,60750126021,6075012602
60750126021017.00,60750126021,6075012602
60750126021018.00,60750126021,6075012602
60750126021019.00,60750126021,6075012602
60750126021020.00,60750126021,6075012602
60750126022000.00,60750126022,6075012602
60750126022001.00,60750126022,6075012602
60750126022002.00,60750126022,6075012602
60750126022003.00,60750126022,6075012602
60750126022004.00,60750126022,6075012602
60750126022005.00,60750126022,6075012602
60750126022006.00,60750126022,6075012602
60750126022007.00,60750126022,6075012602
60750126022008.00,60750126022,6075012602
60750126022009.00,60750126022,6075012602
60750126022010.00,60750126022,6075012602
60750126022011.00,60750126022,6075012602
60750126022012.00,60750126022,6075012602
60750126022013.00,60750126022,6075012602
60750126022014.00,60750126022,6075012602
60750126022015.00,60750126022,6075012602
60750126022016.00,60750126022,6075012602
60750127001001.00,60750127001,6075012700
60750127001002.00,60750127001,6075012700
60750127001003.00,60750127001,6075012700
60750127001004.00,60750127001,6075012700
60750127001005.00,60750127001,6075012700
60750127001006.00,60750127001,6075012700
60750127001007.00,60750127001,6075012700
60750127001008.00,60750127001,6075012700
60750127001009.00,60750127001,6075012700
60750127001010.00,60750127001,6075012700
60750127001011.00,60750127001,6075012700
60750127001012.00,60750127001,6075012700
60750127001013.00,60750127001,6075012700
60750127001014.00,60750127001,6075012700
60750127001015.00,60750127001,6075012700
60750127001016.00,60750127001,6075012700
60750127001017.00,60750127001,6075012700
60750127001018.00,60750127001,6075012700
60750127001019.00,60750127001,6075012700
60750127001020.00,60750127001,6075012700
60750127001021.00,60750127001,6075012700
60750127002000.00,60750127002,6075012700
60750127002001.00,60750127002,6075012700
